,기업,주 업무,위치,경력
0,TAGby,Web Developer(Python),"서울 강남구 테헤란로 507, (삼성동) 8F",경력 무관
1,마켓보로,시니어 웹 개발자,"경기 성남시 분당구 판교로 323, 5층(삼평동, 투썬벤처포럼빌딩)",5 ~ 10년 경력
2,마켓보로,Front-end 개발자(JS),"경기 성남시 분당구 판교로 323, 5층(삼평동, 투썬벤처포럼빌딩)",2 ~ 5년 경력
3,Atlas Labs,STT Engineer,"서울시 강남구 테헤란로 44길 8, 아이콘 역삼빌딩 4층",3 ~ 15년 경력
4,에이블리코퍼레이션,백엔드 개발자,서울시 동작구 보라매로5길 15 (전문건설회관빌딩),경력 무관
5,카페24,[개발팀] 백엔드(Backend) 개발자,"서울시 성동구 왕십리로 125, KD 운송타워(패스트파이브 서울숲점) 901호",경력 무관
6,스캐터랩,[BLIMP] 백엔드 엔지니어,"서울 강서구 공항대로 247, (마곡동) C동 811호",2 ~ 10년 경력
7,앤솔러스,웹 서비스 개발자,"서울 서초구 효령로77길 28, (서초동 동오빌딩) 7층",2 ~ 3년 경력
8,에이아이트릭스,의료 인공지능 SW개발 리드,"서울 서초구 효령로77길 28, (서초동 동오빌딩) 7층",6 ~ 12년 경력
9,에이아이트릭스,AI 플랫폼 리드개발자,"서울 강남구 테헤란로 142, (역삼동)",6 ~ 12년 경력
10,로아인텔리전스,백엔드 개발자,"서울 종로구 인사동5길 26, 홍익빌딩(라메르 갤러리)",1 ~ 7년 경력
11,트레이지,백엔드 개발자 (Python),"경기 수원시 영통구 법조로 25, (하동) A동 713호 SK VIEW LAKE",5 ~ 7년 경력
12,꿈비,"플랫폼 APP개발자, 서버/웹개발자",서울시 강남구 언주로 538,2 ~ 10년 경력
13,솔트룩스,백엔드 개발자,"서울 구로구 디지털로33길 12, 1008호 (구로동)",5 ~ 10년 경력
14,넷크루즈,back-end 개발자 (Django),경기도 성남시 분당구 대왕판교로 660 유스페이스 1B 4층,3 ~ 5년 경력
15,가비아,클라우드 시스템 개발자,"서울시 강남구 도곡동 514-1 튼튼영어빌딩 10층, OGQ",경력 무관
16,OGQ,파이썬 개발자,"대전 유성구 유성대로1689번길 70, (전민동) KT대덕2연구센터 연구3동 308호",7 ~ 15년 경력
17,브이젠,머신러닝 개발자,"서울특별시 강남구 청담동 도산대로 502 루비나빌딩 4층, 큐피스트",경력 무관
18,CUPIST,백엔드 개발자(Backed Developer),"서울 서초구 서초대로78길 22, 7층 (서초동)",2 ~ 15년 경력
19,스포카,안드로이드 개발자,"서울 강남구 테헤란로 127, (역삼동) 하나금융강남사옥 4층",3 ~ 10년 경력
20,스포카,백엔드 개발자,"서울 강남구 테헤란로 127, (역삼동) 하나금융강남사옥 4층",3 ~ 10년 경력
21,딥네츄럴,백엔드 엔지니어 (Python+Django),"서울 서초구 태봉로 114, (우면동)",3 ~ 8년 경력
22,유니드컴즈,시니어 백엔드 개발자(Senior Back-End Developer),"서울시 마포구 양화로61, 11층 (서교동, 두암빌딩)",5 ~ 10년 경력
23,비트나인,[비트나인] 빅데이터/인공지능 솔루션 개발/관리,"서울시 강서구 양천로401, 한강자이타워 A동 1201호",2 ~ 10년 경력
